registration_date,traffic_type,id_partner,age_group,device,country_tier,registrations,users_acqusition_costs,revenue_7_days,logins_1_lt,logins_3_lt,logins_7_lt
2021-06-24,Google Search,1,35-,iOS,Tier_1,60,220.0,2.99,5,3,1
2021-09-13,Google Search,1,35-,MacOS,Tier_1,8,0.0,0.0,0,0,0
2021-07-12,Google Search,1,35-55,Android,Tier_1,121,2550.0,225.97,28,19,11
2021-03-26,Google Search,1,35-55,iOS,Tier_1,95,1900.0,351.92,23,9,2
2021-04-26,Google Search,1,35-,Android,Tier_1,51,915.0,256.09,7,2,2
2021-09-23,Google Search,1,35-55,Android,Tier_1,187,3012.0,605.94,40,26,12
2021-09-10,Google Search,1,35-55,Android,Tier_1,122,2976.0,225.95,37,22,11
2021-02-14,Google Search,1,35-,iOS,Tier_2,6,0.0,0.0,1,0,0
2021-09-22,Google Search,1,35-55,iOS,Tier_1,118,8824.0,4515.96,30,21,13
2021-10-31,Google Search,1,35-,iOS,Tier_1,56,238.0,1114.99,6,3,2
2021-08-22,Google Search,1,35-55,Android,Tier_1,153,2690.0,891.9300000000001,36,27,11
2021-10-08,Google Search,1,35-55,Windows,Tier_1,42,1044.0,81.98,14,10,4
2021-01-19,Google Search,1,35-55,iOS,Tier_1,121,4023.0,988.77,15,8,2
2021-07-25,Google Search,1,35-,iOS,Tier_1,65,1880.0,366.95000000000005,8,4,1
2021-04-09,Google Search,1,35-55,iOS,Tier_2,5,0.0,0.0,2,0,1
2021-02-04,Google Search,1,35-55,iOS,Tier_1,89,2500.0,702.84,14,4,3
2021-03-25,Google Search,1,35-55,MacOS,Tier_1,24,2090.0,884.59,4,1,1
2021-09-14,Google Search,1,35-55,iOS,Tier_1,134,7224.0,2823.4699999999993,25,13,10
2021-11-03,Google Search,1,35-55,Android,Tier_1,132,2732.0,362.95000000000005,37,19,11
2021-02-14,Google Search,1,35-55,iOS,Tier_1,142,4050.0,383.15,27,12,11
2021-05-02,Google Search,1,55+,Windows,Tier_1,40,1050.0,62.96,8,8,4
2021-08-06,Google Search,1,35-,Other,Tier_1,1,0.0,0.0,0,0,0
2021-03-01,Google Search,1,35-,iOS,Tier_1,57,1500.0,143.94,5,3,2
2021-10-12,Google Search,1,35-,Android,Tier_1,50,720.0,24.979999999999997,5,3,1
2021-09-20,Google Search,1,55+,Android,Tier_1,66,3116.0,1979.98,15,11,10
2021-09-19,Google Search,1,35-,Android,Tier_1,46,750.0,7.1000000000000005,4,1,1
2021-03-21,Google Search,1,55+,Windows,Tier_2,8,330.0,3.57,2,1,1
2021-02-22,Google Search,1,55+,Windows,Tier_1,62,1530.0,215.95000000000002,12,8,6
